arrival_airport,date,arrival_time,flight,airline,duration,distance,aircraft,seats,codeshare,meals
MYY,2026-02-15,08:00,AK6180,AirAsia,1h 0m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,08:05,AK6071,AirAsia,0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
MYY,2026-02-15,08:25,MY3221,MAXjet,0h 45m,"110 miles, 177 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,08:55,AK5651,AirAsia,2h 25m,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,09:10,AK5012,AirAsia,Duration: 2h 0m,"739 miles, 1189 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,09:25,MY3652,MAXjet,Duration: 1h 0m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,10:45,AK6077,AirAsia,Duration: 0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
MYY,2026-02-15,11:05,AK6190,AirAsia,Duration: 1h 5m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,11:10,MY3654,MAXjet,Duration: 1h 0m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,11:25,MY3471,MAXjet,Duration: 0h 35m,"78 miles, 126 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,11:25,MH2574,Malaysia Airlines,Duration: 2h 25m,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7570 /JL 7195 /PR 3556 /QR 5426 /SQ 5666 /TK 4821 /WY 5658,Meal (none specific)
MYY,2026-02-15,12:05,MY3631,MAXjet,Duration: 0h 30m,"59 miles, 95 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,12:15,AK5642,AirAsia,Duration: 2h 20m,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,12:30,AK6192,AirAsia,Duration: 1h 0m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,12:35,MY3225,MAXjet,Duration: 0h 45m,"110 miles, 177 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,14:35,MY3633,MAXjet,Duration: 0h 30m,"59 miles, 95 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,14:45,AK6186,AirAsia,Duration: 1h 5m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,15:30,AK5644,AirAsia,Duration: 2h 20m,"858 miles, 1381 km",Airbus A320neo,186,,Meal (none specific)
MYY,2026-02-15,15:40,AK6073,AirAsia,Duration: 0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
MYY,2026-02-15,15:50,MY3223,MAXjet,Duration: 0h 45m,"110 miles, 177 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,16:05,AK6182,AirAsia,Duration: 1h 0m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,16:25,TR412,Scoot,Duration: 2h 10m,"723 miles, 1163 km",Embraer 190 E2,112,SQ 8512,Meal (none specific)
MYY,2026-02-15,16:35,MY3473,MAXjet,Duration: 0h 35m,"78 miles, 126 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,16:45,MH2594,Malaysia Airlines,Duration: 2h 25m,"858 miles, 1381 km",Boeing 737-800 Passenger,172,FY 7576 /GA 8926 /PR 3532 /QR 5431 /TK 4854,Meal (none specific)
MYY,2026-02-15,17:15,MY3475,MAXjet,Duration: 0h 35m,"78 miles, 126 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,17:55,MY3229,MAXjet,Duration: 0h 45m,"110 miles, 177 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,18:20,AK6075,AirAsia,Duration: 0h 50m,"181 miles, 291 km",Airbus A320 (sharklets),180,,Meal (none specific)
MYY,2026-02-15,18:55,AK6184,AirAsia,Duration: 1h 0m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,19:00,MY3227,MAXjet,Duration: 0h 45m,"110 miles, 177 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,19:30,AK6188,AirAsia,Duration: 1h 0m,"320 miles, 515 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,19:40,AK5646,AirAsia,Duration: 2h 20m,"858 miles, 1381 km",Airbus A320,180,,Meal (none specific)
MYY,2026-02-15,19:50,MY3446,MAXjet,Duration: 0h 40m,"106 miles, 171 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,19:50,MH2584,Malaysia Airlines,Duration: 2h 35m,"858 miles, 1381 km",Boeing 737-800 (winglets) Passenger/BBJ2,166,FY 7572 /GA 9315 /KL 3854 /PR 3530 /QR 5428,Meal (none specific)
MYY,2026-02-15,20:05,MY3656,MAXjet,Duration: 1h 0m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,22:10,AK5648,AirAsia,Duration: 2h 20m,"858 miles, 1381 km",Airbus A320 (sharklets),180,,Meal (none specific)
MYY,2026-02-15,22:35,MY3658,MAXjet,Duration: 1h 0m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,15:00,MY3552,MAXjet,1h 10m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,09:00,MY3511,MAXjet,0h 45m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,15:50,MY3525,MAXjet,0h 45m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,11:20,MY3625,MAXjet,0h 40m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,14:40,MY3439,MAXjet,0h 50m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,13:40,MY3437,MAXjet,0h 50m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,11:15,MY3527,MAXjet,0h 45m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
MYY,2026-02-15,14:25,MY3601,MAXjet,0h 20m,"199 miles, 320 km",ATR 72,68,,Meal (none specific)
